AVG Vine Star_Rating,AVG Non-Vine Star Rating: ,Pearson Corr,Kendall Corr,Spearmen Corr,Biserial Corr,P-value
3.9872340425531916,3.890909090909091,0.01482141872438395,-0.018365491493899294,-0.01994351637819169,0.014821418724383681,0.07312491834465133
Product ID,Avg Vine SR,Avg NonVine SR
B001NEK2GE,4.411764705882353,4.264618434093162
B002VPE1PW,4.444444444444445,4.166666666666667
B003VANOFY,4.625,3.6355606758832564
B003Y74AXO,3.7666666666666666,4.0
B004CR7TE2,4.333333333333333,
B004XANKVO,4.6923076923076925,4.591489361702128
B005I6EU48,4.0,4.512820512820513
B005I6EU7U,4.545454545454546,4.647465437788019
B005I6EVUG,4.666666666666667,4.480487804878049
B005KELR3A,4.0,3.8181818181818183
B005KELS6Q,4.148148148148148,4.533333333333333
B005L38QHA,3.888888888888889,3.6551724137931036
B005L38QK2,3.8,4.1222493887530565
B005VTGB0S,3.625,3.608695652173913
B0079R8IYW,3.8076923076923075,3.9307692307692306
B0079R8KO0,4.214285714285714,4.371069182389937
B0079R8KXG,4.0,4.429268292682927
B008HJGPVO,4.421052631578948,4.252336448598131
B008HK3QII,4.75,3.9375
B008HK3S04,4.8,4.428571428571429
B008HK3S9K,4.181818181818182,4.6875
B008HK3TXK,4.75,3.3333333333333335
B008HK3XKO,3.727272727272727,4.351851851851852
B008HK3XU4,4.0,4.434108527131783
B008M0NDOK,4.285714285714286,2.871559633027523
B008MF3OEY,4.2,4.84
B008PWUWLC,4.111111111111111,4.25
B008PWUYVA,3.625,4.222222222222222
B008X9Z37A,3.6785714285714284,3.8127853881278537
B008X9Z3UC,4.421052631578948,4.26
B008X9Z4I8,4.636363636363637,4.333333333333333
B009AOFNU4,3.4,3.233160621761658
B009RH9FR6,4.1923076923076925,4.308781869688385
B009X00E18,3.230769230769231,3.8703703703703702
B009X01C64,4.52,4.358974358974359
B00BW0QC8G,4.642857142857143,4.782608695652174
B00CEB5QU2,3.888888888888889,3.5822784810126582
B00DQEB1V4,3.1724137931034484,2.7377830750893923
B00DQZQPNM,5.0,4.075
B00DQZQQN6,3.6666666666666665,3.878787878787879
B00DQZQSNO,3.7,4.34375
B00LNECVN6,2.9,2.744186046511628
B00LNTK38G,3.269230769230769,4.666666666666667
B00LTI52XW,4.0588235294117645,4.262711864406779
B00LTI56AQ,3.923076923076923,4.2578616352201255
B00O06ZN3O,4.2,3.2549019607843137
